CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
3, iterativefit, central, 1, 0.0, 2.4, 20.0, 10000, -15, 1.1, "1.0"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, -15, 0, "1.55647"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0, 0.1356, "0.956863"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.1356, 0.4069, "0.869779+0.64045*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.4069, 0.5731, "1.67486+-1.33812*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.5731, 0.6342, "-0.93592+3.21742*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.6342, 0.6954, "2.65552+-2.44553*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.6954, 0.7566, "0.0974988+1.23296*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.7566, 0.8178, "1.00518+0.0332713*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.8178, 0.85895, "2.12736+-1.33891*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.85895, 0.88, "-3.69079+5.43464*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.88, 0.901, "5.27682+-4.75583*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.901, 0.922, "0.798948+0.214068*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.922, 0.943, "5.60121+-4.99445*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.943, 0.95915, "-1.24186+2.26225*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.95915, 0.97045, "2.41311+-1.54839*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.97045, 0.98175, "-1.55113+2.53655*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.98175, 0.99305, "3.23216+-2.33565*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.99305, 1.00435, "9.30693+-8.45293*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 1.00435, 1.1, "0.817431"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, -15, 0, "1.18379"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0, 0.1356, "0.653663"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.1356, 0.4069, "0.478473+1.27745*x"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.4069, 0.5731, "1.26126+-0.646346*x"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.5731, 0.6342, "-1.79369+4.68423*x"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.6342, 0.6954, "3.46559+-3.60855*x"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.6954, 0.7566, "-0.118892+1.54601*x"
