cMVAv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
3, iterativefit, central, 1, 0.0, 2.4, 20.0, 10000, -15, 1.1, "1.0"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, -1.1, -0.90455, "1.08291"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, -0.90455, -0.69375, "1.33388+0.283716*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, -0.69375, -0.50235, "0.834623+-0.435938*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, -0.50235, -0.33035, "1.21953+0.330276*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, -0.33035, -0.15845, "1.02322+-0.263963*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, -0.15845, 0.01345, "1.07891+0.0874996*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.01345, 0.18535, "1.08876+-0.644539*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.18535, 0.35725, "1.10756+-0.74595*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.35725, 0.4932, "0.413421+1.19704*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.4932, 0.5932, "0.931892+0.145805*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.5932, 0.6932, "0.862658+0.262518*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.6932, 0.7932, "1.46303+-0.603572*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.7932, 0.8932, "1.28031+-0.373215*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.8932, 0.9498, "0.720586+0.253437*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.9498, 0.9631, "9.96419+-9.47872*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.9631, 0.9765, "-7.84575+9.01358*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.9765, 0.9899, "4.28973+-3.41394*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.9899, 1.0033, "2.53633+-1.64265*x"
